epochs,QLearning_random_win_pct,QLearning_random_time,QLearning_QLearning_win_pct,QLearning_QLearning_time,QLearning_ab-weighted-diff_win_pct,QLearning_ab-weighted-diff_time,ab-weighted-diff_random_win_pct,ab-weighted-diff_random_time,ab-weighted-diff_QLearning_win_pct,ab-weighted-diff_QLearning_time,ab-weighted-diff_ab-weighted-diff_win_pct,ab-weighted-diff_ab-weighted-diff_time
116,71.55172413793103,0.03299093246459961,47.41379310344828,0.04160714149475098,10.344827586206897,5.12539005279541,89.65517241379311,4.017591953277588,91.37931034482759,5.188614130020142,0.0,8.702489137649536
117,70.94017094017094,0.026049137115478516,47.863247863247864,0.04622316360473633,10.256410256410255,5.60945200920105,89.74358974358975,4.352060079574585,91.45299145299145,6.115736961364746,0.0,8.672662734985352
118,71.1864406779661,0.028704166412353516,47.45762711864407,0.04596114158630371,10.16949152542373,4.026896238327026,89.83050847457628,3.7815120220184326,91.52542372881356,4.486030101776123,0.0,8.709912061691284
119,70.58823529411765,0.02820110321044922,47.89915966386555,0.04658389091491699,10.084033613445378,4.927674770355225,89.91596638655463,3.6519200801849365,91.59663865546219,4.281419038772583,0.0,8.734742164611816
120,70.83333333333334,0.02907085418701172,47.5,0.04902911186218262,10.0,3.7855958938598633,89.16666666666667,2.472454071044922,91.66666666666666,3.3258070945739746,0.0,8.5848228931427
121,71.07438016528926,0.026910781860351562,47.93388429752066,0.0471949577331543,9.917355371900827,5.207395076751709,88.42975206611571,3.1877219676971436,91.73553719008265,4.546020746231079,0.0,8.725263118743896
122,71.31147540983606,0.02636885643005371,47.540983606557376,0.04489898681640625,9.836065573770492,3.4566850662231445,88.52459016393442,4.9919867515563965,91.80327868852459,4.998410940170288,0.0,8.73343300819397
123,71.54471544715447,0.028033733367919922,47.96747967479675,0.04930901527404785,9.75609756097561,5.027418851852417,87.8048780487805,5.508286952972412,91.869918699187,4.392545938491821,0.0,8.844014883041382
124,71.7741935483871,0.02482295036315918,47.58064516129033,0.04739117622375488,9.67741935483871,4.050191164016724,87.09677419354838,3.3057668209075928,91.93548387096774,5.015735149383545,0.0,8.791061162948608
125,71.2,0.02822399139404297,48.0,0.0460970401763916,9.6,3.784924030303955,87.2,4.8477020263671875,92.0,4.066869020462036,0.0,8.578883171081543
126,70.63492063492063,0.026822805404663086,47.61904761904761,0.04524588584899902,9.523809523809524,6.3152549266815186,87.3015873015873,3.4875829219818115,91.26984126984127,5.394787073135376,0.0,8.72827410697937
127,70.86614173228347,0.029864788055419922,47.24409448818898,0.04723620414733887,9.448818897637794,4.676668882369995,87.4015748031496,3.202759027481079,91.33858267716536,5.60732102394104,0.0,8.682655096054077
128,71.09375,0.027642011642456055,47.65625,0.05050802230834961,9.375,4.829436302185059,87.5,3.5780749320983887,91.40625,3.2704098224639893,0.0,8.70556902885437
129,71.31782945736434,0.029928207397460938,47.286821705426355,0.04243803024291992,9.30232558139535,4.660831928253174,87.59689922480621,3.7709500789642334,91.47286821705426,0.7975549697875977,0.0,8.72269582748413
130,71.53846153846153,0.028633832931518555,47.69230769230769,0.0450742244720459,9.230769230769232,5.18433403968811,87.6923076923077,4.788946866989136,90.76923076923077,3.7829010486602783,0.0,8.590024948120117
131,71.7557251908397,0.028319120407104492,48.091603053435115,0.04647231101989746,9.16030534351145,3.999027967453003,87.02290076335878,3.6674540042877197,90.83969465648855,3.969787836074829,0.0,8.728367805480957
132,71.21212121212122,0.0249021053314209,48.484848484848484,0.04813194274902344,9.090909090909092,4.564604997634888,87.12121212121212,3.169969081878662,90.9090909090909,4.813665866851807,0.0,8.703833818435669
133,71.42857142857143,0.029236316680908203,48.1203007518797,0.04742789268493652,9.022556390977442,7.080279111862183,87.21804511278195,5.451573133468628,90.97744360902256,3.2043168544769287,0.0,8.719878196716309
134,71.64179104477611,0.028557777404785156,48.507462686567166,0.04410099983215332,9.701492537313433,4.734953880310059,87.31343283582089,3.470790147781372,91.04477611940298,3.9212210178375244,0.0,8.654623985290527
135,71.85185185185186,0.02898383140563965,48.888888888888886,0.050418853759765625,9.62962962962963,4.6917102336883545,87.4074074074074,3.517681121826172,91.11111111111111,3.111603021621704,0.0,8.667547941207886
136,71.32352941176471,0.031495094299316406,49.26470588235294,0.04593515396118164,9.558823529411764,6.178423643112183,87.5,3.9805588722229004,91.17647058823529,4.032994985580444,0.0,8.689855098724365
137,71.53284671532847,0.027816057205200195,48.9051094890511,0.046037912368774414,9.48905109489051,4.791217088699341,87.59124087591242,3.2810707092285156,91.24087591240875,4.899785995483398,0.0,8.715768814086914
138,71.73913043478261,0.029928922653198242,48.55072463768116,0.0467839241027832,9.420289855072465,3.7552289962768555,86.95652173913044,3.6281611919403076,91.30434782608695,4.506558179855347,0.0,8.690802812576294
139,71.22302158273382,0.029117822647094727,48.201438848920866,0.04522085189819336,9.352517985611511,3.6441359519958496,87.05035971223022,2.9375059604644775,91.36690647482014,5.013801336288452,0.0,8.695009708404541
140,70.71428571428572,0.027463912963867188,47.85714285714286,0.04798388481140137,9.285714285714286,5.407969951629639,87.14285714285714,3.7291247844696045,90.71428571428571,6.700064182281494,0.0,8.595003128051758
141,70.92198581560284,0.02995610237121582,48.226950354609926,0.043969154357910156,9.219858156028367,4.761085033416748,87.2340425531915,2.4436233043670654,90.78014184397163,2.8802123069763184,0.0,8.70877718925476
142,71.12676056338029,0.027419090270996094,47.88732394366197,0.0449061393737793,9.15492957746479,4.2452709674835205,87.32394366197182,2.21694016456604,90.84507042253522,2.313559055328369,0.0,8.650255918502808
